source,target,weight
787,788,0.009
788,796,0.019
789,767,0.019
789,790,0.02
790,791,0.016
791,792,0.014
795,794,0.002
796,786,0.024
797,826,0.029
798,805,0.001
800,799,0.016
800,802,0.007
800,803,0.006
802,801,0.007
805,815,0.004
806,807,0.009
807,809,0.005
808,800,0.016
810,797,0.024
811,842,0.027
812,834,0.022
813,814,0.033
814,817,0.006
815,813,0.014
817,804,0.003
817,816,0.006
817,818,0.004
818,819,0.01
819,820,0.026
819,822,0.017
820,823,0.01
821,806,0.014
821,824,0.004
822,810,0.013
822,811,0.015
823,808,0.012
823,821,0.014
824,812,0.012
824,825,0.003
826,832,0.033
827,828,0.009
827,830,0.022
829,839,0.012
830,829,0.03
830,831,0.011
833,827,0.022
833,840,0.017
834,835,0.005
835,833,0.02
836,837,0.014
838,854,0.029
839,838,0.011
840,841,0.02
842,836,0.006
843,850,0.039
844,845,0.011
845,853,0.031
847,843,0.049
847,844,0.006
848,847,0.03
849,848,0.035
850,851,0.03
851,852,0.033
852,872,0.038
854,855,0.02
855,849,0.025
856,857,0.026
857,863,0.024
858,859,0.004
858,871,0.018
860,856,0.007
861,869,0.003
862,867,0.014
863,858,0.013
863,862,0.016
865,861,0.013
865,876,0.01
865,877,0.012
866,864,0.022
866,870,0.012
867,865,0.009
870,868,0.018
870,875,0.021
871,846,0.048
872,860,0.035
874,873,0.023
876,866,0.011
877,874,0.027
