source,target,weight
224,301,0.0
23,178,0.319
68,221,0.318
20,328,0.605
56,323,0.645
67,302,0.334
60,329,0.6
34,319,0.381
57,317,0.571
55,308,0.365
48,331,0.431
15,337,0.382
74,96,0.0
34,324,0.387
67,315,0.597
47,317,0.489
70,144,0.336
113,205,0.0
8,323,0.462
206,322,0.323
52,339,0.35
259,299,0.0
20,336,0.457
63,315,0.569
182,345,0.0
23,308,0.459
197,298,0.372
15,338,0.367
56,324,0.627
16,338,0.379
69,302,0.351
70,321,0.752
21,306,0.399
69,330,0.62
65,344,0.333
20,316,0.594
23,184,0.33
35,319,0.402
50,316,0.504
319,327,0.0
146,186,0.0
70,304,0.389
200,325,0.337
130,233,0.0
17,316,0.553
99,105,0.0
15,329,0.528
64,319,0.699
35,328,0.357
50,321,0.597
249,273,0.0
64,181,0.336
68,329,0.664
45,317,0.504
24,309,0.491
74,133,0.0
0,309,0.512
16,322,0.619
14,315,0.482
22,307,0.425
116,298,0.333
21,298,0.729
25,320,0.324
29,298,0.389
19,310,0.44
35,327,0.382
59,318,0.602
14,15,0.0
61,313,0.499
9,325,0.468
23,336,0.498
54,329,0.55
30,323,0.36
319,320,0.0
62,180,0.323
200,298,0.372
115,205,0.0
23,318,0.682
181,345,0.0
199,324,0.342
38,318,0.404
8,333,0.328
68,310,0.513
21,319,0.679
312,313,0.0
14,336,0.375
68,181,0.358
45,336,0.358
178,186,0.0
62,309,0.458
11,325,0.511
58,310,0.434
11,330,0.427
22,324,0.695
206,320,0.32
65,182,0.318
8,325,0.445
52,315,0.503
58,304,0.324
29,321,0.375
3,319,0.337
48,328,0.462
15,314,0.474
101,322,0.319
41,324,0.49
18,339,0.387
64,322,0.718
13,318,0.525
0,220,0.319
60,323,0.688
30,326,0.325
23,327,0.68
69,325,0.714
202,322,0.339
127,287,0.0
1,321,0.319
46,336,0.34
28,324,0.329
330,331,0.0
93,233,0.0
67,182,0.329
20,319,0.658
60,322,0.68
3,325,0.342
19,304,0.33
30,320,0.351
14,311,0.386
56,335,0.454
50,318,0.544
23,344,0.359
13,312,0.392
37,298,0.469
59,327,0.601
20,327,0.635
58,308,0.402
208,323,0.322
56,340,0.362
200,322,0.346
28,325,0.328
68,343,0.394
50,338,0.349
50,331,0.482
68,226,0.318
23,182,0.343
68,300,0.327
99,101,0.0
8,327,0.419
60,321,0.694
8,330,0.365
218,261,0.0
60,313,0.514
57,326,0.597
342,343,0.0
61,316,0.58
53,310,0.383
4,320,0.365
251,291,0.0
70,320,0.734
45,298,0.594
44,324,0.494
31,298,0.406
23,339,0.449
28,298,0.362
14,317,0.523
57,311,0.43
62,331,0.595
40,327,0.419
35,325,0.408
9,314,0.359
198,321,0.364
5,327,0.349
6,319,0.394
121,231,0.0
299,300,0.0
44,320,0.5
53,317,0.538
67,305,0.383
0,344,0.39
62,320,0.699
21,183,0.319
18,343,0.318
67,317,0.641
62,332,0.565
51,320,0.569
54,309,0.393
0,303,0.395
128,205,0.0
110,193,0.0
246,249,0.0
17,330,0.532
42,313,0.34
59,332,0.509
65,307,0.413
162,319,0.319
165,298,0.33
61,317,0.599
24,328,0.665
67,307,0.425
63,342,0.354
39,314,0.356
54,316,0.546
54,334,0.452
17,323,0.642
34,326,0.366
200,319,0.332
15,318,0.565
63,331,0.57
24,177,0.317
224,299,0.0
18,323,0.658
66,141,0.319
75,298,0.327
21,322,0.697
199,318,0.318
24,331,0.63
199,321,0.362
61,318,0.622
21,312,0.513
19,334,0.485
196,320,0.337
265,273,0.0
47,333,0.411
22,312,0.52
18,310,0.428
202,321,0.351
52,307,0.342
206,323,0.329
70,179,0.341
50,336,0.375
40,298,0.484
57,323,0.641
62,329,0.622
16,325,0.607
52,317,0.545
13,309,0.339
42,320,0.483
62,314,0.565
0,318,0.72
51,312,0.4
44,318,0.466
36,326,0.385
18,316,0.569
42,319,0.469
40,331,0.364
60,338,0.431
68,326,0.709
99,111,0.0
205,321,0.332
201,324,0.335
68,185,0.334
15,315,0.502
0,330,0.655
5,318,0.351
24,318,0.697
0,302,0.379
9,319,0.462
69,142,0.327
62,327,0.66
8,318,0.42
52,330,0.506
34,327,0.361
1,205,0.0
39,328,0.412
41,322,0.499
58,306,0.366
59,340,0.366
15,317,0.543
308,309,0.0
14,335,0.406
57,307,0.364
0,143,0.359
133,298,0.317
188,218,0.0
68,223,0.333
59,307,0.372
121,171,0.0
66,316,0.642
22,342,0.378
111,320,0.318
67,327,0.662
61,308,0.407
57,328,0.562
60,342,0.357
15,312,0.429
63,338,0.428
37,330,0.352
22,309,0.461
42,331,0.391
50,312,0.41
23,142,0.325
13,310,0.353
21,69,0.0
63,304,0.339
26,321,0.327
10,334,0.338
63,333,0.528
13,334,0.394
20,340,0.395
59,335,0.458
114,323,0.318
48,332,0.405
47,331,0.449
41,333,0.367
14,316,0.504
53,335,0.42
55,319,0.595
47,327,0.509
54,306,0.341
132,320,0.321
64,184,0.326
10,328,0.433
22,333,0.556
55,310,0.395
54,323,0.635
15,336,0.393
67,316,0.621
33,328,0.338
109,233,0.0
67,329,0.625
2,322,0.33
291,297,0.0
36,323,0.423
7,325,0.424
45,316,0.486
198,320,0.35
70,326,0.7
69,182,0.346
19,308,0.409
53,311,0.4
16,320,0.615
97,298,0.342
11,335,0.352
70,335,0.545
38,321,0.452
202,324,0.331
19,337,0.434
24,345,0.351
9,329,0.408
65,323,0.699
238,273,0.0
128,321,0.319
11,336,0.323
74,124,0.0
19,339,0.398
51,308,0.331
24,185,0.329
19,321,0.679
20,342,0.355
54,318,0.587
69,334,0.542
4,326,0.339
59,315,0.537
53,337,0.378
60,304,0.342
243,275,0.0
286,287,0.0
49,327,0.517
33,325,0.388
10,322,0.498
61,328,0.591
69,301,0.333
21,310,0.469
6,320,0.407
51,331,0.471
11,333,0.387
64,303,0.359
39,327,0.438
69,183,0.341
19,329,0.586
162,323,0.34
69,180,0.341
17,340,0.359
249,282,0.0
249,284,0.0
24,323,0.747
53,314,0.469
69,146,0.321
44,48,0.0
6,327,0.374
69,340,0.437
61,333,0.516
24,301,0.342
13,311,0.369
52,325,0.595
50,334,0.412
39,41,0.0
0,305,0.431
23,328,0.65
210,211,0.0
63,328,0.604
140,299,0.0
18,330,0.548
64,343,0.371
68,140,0.32
45,338,0.333
99,207,0.0
160,321,0.342
63,298,0.707
9,318,0.442
18,326,0.615
45,313,0.409
40,315,0.363
36,318,0.382
